,Avg Area,Avg Depth,Avg Width,Eu Obj,Mod Obj,Time,n_items
0,4.644,2.265,2.057,13.23,13.229999999999997,13.196,6
1,4.677,2.52,1.822,12.6,12.599999999999994,1.199,5
2,5.373,2.763,1.943,8.059999999999999,8.059999999999997,0.024,3
3,3.054,1.581,1.946,11.68,11.459999999999996,315.765,8
4,5.131,2.377,2.11,2012.19,16.640000000000004,19.214,7
5,4.522,2.163,2.153,6.49,6.489999999999996,0.036,3
6,4.848,2.709,1.834,3012.85,21.670000000000005,110.232,8
7,6.451,3.48,1.85,2010.79,17.399999999999995,1.348,5
8,4.907,2.663,1.829,3011.22,20.700000000000014,52.392,8
9,4.635,2.37,1.97,2012.51,18.91999999999999,212.536,8
10,5.289,2.73,1.935,1012.47,16.379999999999995,4.056,6
11,4.718,2.478,1.976,12.389999999999999,12.389999999999995,1.363,5
12,3.593,1.98,1.846,12.15,12.149999999999993,31.728,7
13,5.432,2.526,2.061,3012.97,21.35,321.242,9
14,7.011,3.563,1.967,10.69,10.690000000000007,0.043,3
15,4.602,2.4,1.949,3013.36,21.349999999999987,323.497,9
16,2.824,1.473,1.947,4.92,4.419999999999997,0.048,3
17,4.246,1.943,2.092,7.7700000000000005,7.770000000000003,0.526,4
18,2.509,1.454,1.798,5.97,5.959999999999992,2.571,5
19,3.884,1.99,1.992,8.75,8.750000000000005,1.116,5
20,4.31,2.391,1.758,3013.26,19.859999999999978,315.129,9
21,3.961,2.097,1.873,11.319999999999999,11.319999999999986,5.155,6
22,4.242,2.021,2.024,13.26,13.259999999999994,10.239,7
23,5.951,2.718,2.179,4010.95,24.45999999999999,317.87,9
24,3.803,1.9,1.974,1011.4,14.499999999999995,52.862,8
25,5.673,2.907,1.919,4012.62,23.219999999999995,124.812,8
26,3.221,1.905,1.805,6.96,6.959999999999998,0.102,4
27,2.644,1.377,1.883,5.24,5.240000000000002,0.519,4
28,4.317,2.112,2.165,8.45,8.449999999999994,0.363,4
29,3.71,1.947,1.913,12.719999999999999,12.719999999999985,13.041,7
30,3.264,1.487,2.16,5.95,5.949999999999999,0.329,4
31,3.728,2.022,1.853,7.9799999999999995,7.979999999999998,0.385,4
32,4.257,2.246,1.917,1011.84,14.059999999999995,8.371,7
33,4.096,2.057,2.01,5.789999999999999,5.789999999999997,0.029,3
34,4.583,2.451,1.909,3013.01,20.76,203.326,9
35,5.385,2.687,2.016,2011.77,17.920000000000023,38.517,7
36,2.285,1.093,2.057,3.0300000000000002,3.0300000000000025,0.061,3
37,3.967,1.797,2.193,5.39,5.39,0.024,3
38,5.854,3.135,1.878,12.360000000000001,12.360000000000001,0.333,4
39,5.248,2.63,1.982,1011.65,14.68,3.254,6
40,4.81,2.559,1.937,2011.9,17.909999999999997,53.015,7
41,5.293,2.862,1.824,13.05,13.049999999999992,1.306,5
42,2.797,1.59,1.788,5.9399999999999995,5.940000000000003,0.376,4
43,2.753,1.453,1.893,5.609999999999999,5.590000000000002,0.534,4
44,5.26,2.596,2.02,12.979999999999999,12.98,1.198,5
45,2.956,1.427,2.08,4.1899999999999995,4.189999999999999,0.054,3
46,5.019,2.313,2.123,6.85,6.85,0.038,3
47,5.597,2.774,1.986,3012.19,18.83,31.836,7
48,5.459,2.456,2.174,12.28,12.279999999999992,1.508,5
49,3.444,1.734,2.036,13.22,13.219999999999994,77.192,8
50,5.726,2.9,2.07,11.6,11.599999999999989,0.357,4
51,6.071,3.237,1.84,9.709999999999999,9.71,0.024,3
52,3.505,1.906,1.884,2012.85,15.909999999999982,326.278,9
53,4.934,2.714,1.833,2013.07,18.999999999999993,60.128,7
54,4.501,2.249,1.951,2012.85,18.999999999999986,319.732,9
